UPC,ISBN,EAN,FullTitle,PriceUSD,PriceCAD,PriceUK,NETPrice,NETPriced,SeriesName,SeriesNumber,SubTitle,CoverDescription,PrimaryFormatType,SecondaryFormatTypes,ProductCategory,TextNumber,VolumeTag,Description,InitialOrderDate,FOCDate,OnSaleDate,OriginalCatalogDate,PublisherName,ImprintName,Storyline,SeriesFrequency,MaxIssue,VariantNumber,VariantRatio,SeriesCode,SeriesType,ParentSeriesCode,SeriesFamily,PageCount,PrimaryContentType,IssueSort,BISAC1,BISAC1Description,BISAC2,BISAC2Description,BISAC3,BISAC3Description,Language,AgeRange,MediaRating,Adult,VariantMechanic,AlternateUPC,OrderRequirementCodes,OrderExceptionCodes,ExceedPercentage,EligibleCodes,PublisherCode,ContentItems,Reprint,Printing,WriterISNI,Writer,ArtistISNI,Artist,CoverArtistISNI,CoverArtist,ColoristISNI,Colorist,InkerISNI,Inker,EditorISNI,Editor,LettererISNI,Letterer,Contributor,CartonQuantity,UnitMeasurements,Unit Width,Unit Height,Unit Depth,Unit Weight,Case Weight,Case Length,Case Width,Case Height,StockCode,MonthCode,AlternateCode,OfferedAgain,Resolicited,FOCItem,DemandCheck,InitialOrderIncrement,ReOrderIncrement,BundleQuantity,BundleUPCs,SalesRestrictions,OrderFormNotes,CatalogPage,CatalogMonth,DiscountCode,ReorderDiscountCode,Returnable,ReturnWindow,ReturnType,ReturnQualifier,ReturnPercent,ImageUrl,ImageUpdateDate,SalesStatusCode,DistributorPublisherCode
61499847382300141,,,WHITE HOUSE ROBOT ROMANCE #1 BENGAL 25 COPY VARIANT,8.99,11.99,,,N,White House Robot Romance,1,,BENGAL 25 COPY VARIANT,CB,,Comics,,,"NEW SERIES DEBUT FROM DSTLRY! Join Chip Zdarsky (TIME WAITS, Batman, Daredevil) and Rachael Stott (Doctor Who, Star Trek) for a sweeping adventure about two robots who defy their programming by going on the run to protect their new-found love! Service-1 and Chef-9 dutifully perform their assigned functions at the White House. Their roles bring them into daily contact, but familiarity means little to robotic programming, until Chef-9 learns that Service-1 is set to be decommissioned. Chef-9 starts to wonder if their feelings could be something more? This awakening couldn't come at a worse time, as the White House is preparing for conflict with their neighbors to the North. As rumors of violence from Canada begin to threaten the President's invasion plans, the biggest threat might be closer than they realized: a rogue robot with a head full of state secrets. Every issue from DSTLRY is presented in our perfect bound Prestige format, featuring wraparound covers with spot gloss on robust cover stock, complemented by 48 pages of exquisite interior stock. It's the DSTLRY difference. For fans of BLADE RUNNER, THE ISLAND, and WE STAND ON GUARD.",2025-06-23,2025-07-07,2025-09-03,2025-06-01,DSTLRY,DSTLRY,,Irregular,,3,1:25,WHR,Limited Series,,,48,Original Content,,CGN004070,Comics & Graphic Novels - Science Fiction - General,CGN004090,Comics & Graphic Novels - Romance,CGN014000,Comics & Graphic Novels - Humorous,eng,13UP,Rated T,,Ratio Variant,,,,,,14998,,N,1,434603328,Chip Zdarsky,452030850,Rachael Stott,,Bengal,,,,,,,,,,70,IMPERIAL,8.5,10.875,0.1,0.25,,,,,61499847382300141,,,N,N,Y,,,,,,,,,2025-06,BQM,BQM,N,,,,,https://images.penguinrandomhouse.com/cover/d/61499847382300141,2025-06-11,IP,HF
75960620920002116,,,X-MEN #21 J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,4.99,6.25,,,N,X-MEN,21,,J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,CB,,Comics,,,"While Cyclops spends the night in jail, the younger X-Men take advantage of the break and head out on their own. Their mission? Revenge on the social-media thrilkillers, the Upstarts! Can Jen overcome her fear and embrace her new self? Or will she begin to tread a dark road of her own?",2025-06-23,2025-07-28,2025-08-27,2025-06-01,Marvel,Marvel Universe,,Monthly,,13,2:40,14X,Ongoing,,,32,Original Content,,CGN004080,Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes),,,,,eng,16UP,Rated T+,,Ratio Variant,,,,,,59606,,N,1,,Jed MacKay,433856817,Netho Diaz,81038246,J Scott Campbell,,,,,,,,,,200,IMPERIAL,6.625,10.1875,0.1,0.25,,,,,75960620920002116,,,N,N,Y,,,,,,,,,2025-06,BQM,BQM,N,,,,,,,IP,H6
75960621001500916,,,AMAZING SPIDER-MAN #9 J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,4.99,6.25,,,N,THE AMAZING SPIDER-MAN,9,,J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,CB,,Comics,,,"SPIDER-MAN'S SHOCKING DEFEAT! Battered and broken following his battle with HELLGATE, SPIDER-MAN needs to level up if he's going to survive the next round. Peter Parker is a different man following Hellgate's revelation. But MARY JANE WATSON has a revelation of her own to share! And the first foes to put Spidey's strength to the test are SHOCKER and his new allies, THE AFTERSHOCKS!",2025-06-23,2025-07-07,2025-08-06,2025-06-01,Marvel,Marvel Universe,,Twice-Monthly,,13,2:40,23B,Ongoing,,,32,Original Content,,CGN004080,Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes),,,,,eng,13UP,Rated T,,Ratio Variant,,,,,,59606,,N,1,78472180,Joe Kelly,,Michael Dowling,81038246,J Scott Campbell,,,,,,,,,,200,IMPERIAL,6.625,10.1875,0.1,0.25,,,,,75960621001500916,,,N,N,Y,,,,,,,,,2025-06,BQM,BQM,N,,,,,,,IP,H6
,9781646093540,978164609354051299,Dragon and Chameleon 04,12.99,17.99,,,N,Dragon and Chameleon,4,,,TR,WM,Books,,,"When a veteran manga creator inexplicably switches bodies with his jealous assistant, their clashing artistic ideals will rock the entire industry!Having reached colossal circulation numbers, near-universal acclaim, and social media dominance, Garyo Hanagami&rsquo;s Doragon Land stands perched atop the manga industry. If the man now known as Shinobu Miyama wants even a chance of toppling this behemoth, he&rsquo;ll need a squad of capable assistants by his side! But how will he find the right people, much less convince them to work under him?",2025-06-23,2025-07-14,2025-08-12,2025-06-01,Square Enix,Square Enix Manga,,Irregular,,0,,H8S,,,,176,Original Content,,CGN004050,Comics & Graphic Novels - East Asian Style - Manga - General,CGN018000,Comics & Graphic Novels - Action & Adventure,CGN016000,Comics & Graphic Novels - Occult & Supernatural,eng,16UP,Rated T+,,,,,,,,78164,,N,1,,Ryo Ishiyama,,,,,,,,,,,,,,24,IMPERIAL,5,7.12,0.55,0.35,,,,,9781646093540,,,N,N,Y,,,,,,,,,2025-06,BCV,BCV,N,,,,,https://images.penguinrandomhouse.com/cover/d/9781646093540,2025-03-13,IP,FY
,9781427882592,978142788259251599,"World's End Blue Bird, Volume 4",15.99,19.99,,,N,World's End Blue Bird,,,,TR,WM,Books,,,"The final volume of World's End Blue Bird, a fantastical, magical love story about overcoming fate in a painful and impossible world.Many years after a meteor strikes the Earth, Tokyo remains divided; the rich live in boundless splendorwhile the poor struggle hopelessly to survive. The new ruler and sorcerer Guang, supported by his beloved knight Ray, swears to unite the conflicted world. However, the new king Guang&rsquo;s ideals do not align with those of the being that controls even fate itself. Suffering at the hands of a curse, Guang and Ray each come to a realization &mdash;a way to overcome not only their own fate, but the fate of the world. Driven by hope, the pair come together in the greatest act of love, putting aside their fears and proving that love truly does conquer all.",2025-06-23,2025-07-07,2025-08-19,2025-06-01,Tokyopop,LoveLove,,Irregular,,0,,WBE,,,,218,Original Content,,CGN004050,Comics & Graphic Novels - East Asian Style - Manga - General,CGN004210,Comics & Graphic Novels - East Asian Style - Manga - Yaoi (Boys' Love),CGN004090,Comics & Graphic Novels - Romance,eng,18UP,Mature,,,,,,,,78142,,N,1,,Anji Seina,,,,,,,,,,,,,,42,IMPERIAL,5,7.63,0.67,0.4375,,,,,9781427882592,,,N,N,Y,,,,,,,,,2025-06,BCV,BCV,N,,,,,https://images.penguinrandomhouse.com/cover/d/9781427882592,2025-06-23,IP,HC
61499847382300151,,,WHITE HOUSE ROBOT ROMANCE #1  ERICA HENDERSON VARIANT,8.99,11.99,,,N,White House Robot Romance,1,,ERICA HENDERSON VARIANT,CB,,Comics,,,"NEW SERIES DEBUT FROM DSTLRY! Join Chip Zdarsky (TIME WAITS, Batman, Daredevil) and Rachael Stott (Doctor Who, Star Trek) for a sweeping adventure about two robots who defy their programming by going on the run to protect their new-found love! Service-1 and Chef-9 dutifully perform their assigned functions at the White House. Their roles bring them into daily contact, but familiarity means little to robotic programming, until Chef-9 learns that Service-1 is set to be decommissioned. Chef-9 starts to wonder if their feelings could be something more? This awakening couldn't come at a worse time, as the White House is preparing for conflict with their neighbors to the North. As rumors of violence from Canada begin to threaten the President's invasion plans, the biggest threat might be closer than they realized: a rogue robot with a head full of state secrets. Every issue from DSTLRY is presented in our perfect bound Prestige format, featuring wraparound covers with spot gloss on robust cover stock, complemented by 48 pages of exquisite interior stock. It's the DSTLRY difference. For fans of BLADE RUNNER, THE ISLAND, and WE STAND ON GUARD.",2025-06-23,2025-07-07,2025-09-03,2025-06-01,DSTLRY,DSTLRY,,Irregular,,4,,WHR,Limited Series,,,48,Original Content,,CGN004070,Comics & Graphic Novels - Science Fiction - General,CGN004090,Comics & Graphic Novels - Romance,CGN014000,Comics & Graphic Novels - Humorous,eng,13UP,Rated T,,Open Order,,,,,,14998,,N,1,434603328,Chip Zdarsky,452030850,Rachael Stott,000000048002081X,Erica Henderson,,,,,,,,,,70,IMPERIAL,8.5,10.875,0.1,0.25,,,,,61499847382300151,,,N,N,Y,,,,,,,,,2025-06,BQM,BQM,N,,,,,,,IP,HF
