UPC,ISBN,EAN,FullTitle,PriceUSD,NETPriced,SeriesName,SeriesNumber,CoverDescription,PrimaryFormatType,ProductCategory,Description,FOCDate,OnSaleDate,PublisherName,SeriesFrequency,VariantNumber,VariantRatio,SeriesCode,SeriesType,PageCount,PrimaryContentType,BISAC1,BISAC1Description,Language,AgeRange,MediaRating,Adult,PublisherCode,Reprint,Printing,Writer,Artist,CoverArtist,UnitMeasurements,Unit Width,Unit Height,Unit Depth,Unit Weight,StockCode,ImageUrl,ImageUpdateDate
61499847382300141,,,WHITE HOUSE ROBOT ROMANCE #1 BENGAL 25 COPY VARIANT,8.99,N,White House Robot Romance,1,BENGAL 25 COPY VARIANT,CB,Comics,"NEW SERIES DEBUT FROM DSTLRY! Join Chip Zdarsky (TIME WAITS, Batman, Daredevil) and Rachael Stott (Doctor Who, Star Trek) for a sweeping adventure about two robots who defy their programming by going on the run to protect their new-found love! Service-1 and Chef-9 dutifully perform their assigned functions at the White House. Their roles bring them into daily contact, but familiarity means little to robotic programming, until Chef-9 learns that Service-1 is set to be decommissioned. Chef-9 starts to wonder if their feelings could be something more? This awakening couldn't come at a worse time, as the White House is preparing for conflict with their neighbors to the North. As rumors of violence from Canada begin to threaten the President's invasion plans, the biggest threat might be closer than they realized: a rogue robot with a head full of state secrets. Every issue from DSTLRY is presented in our perfect bound Prestige format, featuring wraparound covers with spot gloss on robust cover stock, complemented by 48 pages of exquisite interior stock. It's the DSTLRY difference. For fans of BLADE RUNNER, THE ISLAND, and WE STAND ON GUARD.",2025-07-07,2025-09-03,DSTLRY,Irregular,3,1:25,WHR,Limited Series,48,Original Content,CGN004070,Comics & Graphic Novels - Science Fiction - General,eng,13UP,Rated T,N,14998,N,1,Chip Zdarsky,Rachael Stott,Bengal,IMPERIAL,8.5,10.875,0.1,0.25,61499847382300141,https://images.penguinrandomhouse.com/cover/d/61499847382300141,2025-06-11
75960620920002116,,,X-MEN #21 J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,4.99,N,X-MEN,21,J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,CB,Comics,"While Cyclops spends the night in jail, the younger X-Men take advantage of the break and head out on their own. Their mission? Revenge on the social-media thrilkillers, the Upstarts! Can Jen overcome her fear and embrace her new self? Or will she begin to tread a dark road of her own?",2025-07-28,2025-08-27,Marvel,Monthly,13,2:40,14X,Ongoing,32,Original Content,CGN004080,Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes),eng,16UP,Rated T+,N,59606,N,1,Jed MacKay,Netho Diaz,J Scott Campbell,IMPERIAL,6.625,10.1875,0.1,0.25,75960620920002116,,
75960621001500916,,,AMAZING SPIDER-MAN #9 J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,4.99,N,THE AMAZING SPIDER-MAN,9,J. SCOTT CAMPBELL JUST SPECTACULAR COLLECTION VIRGIN VARIANT,CB,Comics,"SPIDER-MAN'S SHOCKING DEFEAT! Battered and broken following his battle with HELLGATE, SPIDER-MAN needs to level up if he's going to survive the next round. Peter Parker is a different man following Hellgate's revelation. But MARY JANE WATSON has a revelation of her own to share! And the first foes to put Spidey's strength to the test are SHOCKER and his new allies, THE AFTERSHOCKS!",2025-07-07,2025-08-06,Marvel,Twice-Monthly,13,2:40,23B,Ongoing,32,Original Content,CGN004080,Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes),eng,13UP,Rated T,N,59606,N,1,Joe Kelly,Michael Dowling,J Scott Campbell,IMPERIAL,6.625,10.1875,0.1,0.25,75960621001500916,,
,9781646093540,978164609354051299,Dragon and Chameleon 04,12.99,N,Dragon and Chameleon,4,Main Cover,TR,Books,"When a veteran manga creator inexplicably switches bodies with his jealous assistant, their clashing artistic ideals will rock the entire industry!Having reached colossal circulation numbers, near-universal acclaim, and social media dominance, Garyo Hanagami&rsquo;s Doragon Land stands perched atop the manga industry. If the man now known as Shinobu Miyama wants even a chance of toppling this behemoth, he&rsquo;ll need a squad of capable assistants by his side! But how will he find the right people, much less convince them to work under him?",2025-07-14,2025-08-12,Square Enix,Irregular,0,,H8S,One-Shot,176,Collected Content,CGN004050,Comics & Graphic Novels - East Asian Style - Manga - General,eng,16UP,Rated T+,N,78164,N,1,Ryo Ishiyama,,,IMPERIAL,5,7.12,0.55,0.35,9781646093540,https://images.penguinrandomhouse.com/cover/d/9781646093540,2025-03-13
,9781427882592,978142788259251599,"World's End Blue Bird, Volume 4",15.99,N,World's End Blue Bird,1,Main Cover,TR,Books,"The final volume of World's End Blue Bird, a fantastical, magical love story about overcoming fate in a painful and impossible world.Many years after a meteor strikes the Earth, Tokyo remains divided; the rich live in boundless splendorwhile the poor struggle hopelessly to survive. The new ruler and sorcerer Guang, supported by his beloved knight Ray, swears to unite the conflicted world. However, the new king Guang&rsquo;s ideals do not align with those of the being that controls even fate itself. Suffering at the hands of a curse, Guang and Ray each come to a realization &mdash;a way to overcome not only their own fate, but the fate of the world. Driven by hope, the pair come together in the greatest act of love, putting aside their fears and proving that love truly does conquer all.",2025-07-07,2025-08-19,Tokyopop,Irregular,0,,WBE,One-Shot,218,Original Content,CGN004050,Comics & Graphic Novels - East Asian Style - Manga - General,eng,18UP,Mature,N,78142,N,1,Anji Seina,,,IMPERIAL,5,7.63,0.67,0.4375,9781427882592,https://images.penguinrandomhouse.com/cover/d/9781427882592,2025-06-23
61499847382300151,,,WHITE HOUSE ROBOT ROMANCE #1  ERICA HENDERSON VARIANT,8.99,N,White House Robot Romance,1,ERICA HENDERSON VARIANT,CB,Comics,"NEW SERIES DEBUT FROM DSTLRY! Join Chip Zdarsky (TIME WAITS, Batman, Daredevil) and Rachael Stott (Doctor Who, Star Trek) for a sweeping adventure about two robots who defy their programming by going on the run to protect their new-found love! Service-1 and Chef-9 dutifully perform their assigned functions at the White House. Their roles bring them into daily contact, but familiarity means little to robotic programming, until Chef-9 learns that Service-1 is set to be decommissioned. Chef-9 starts to wonder if their feelings could be something more? This awakening couldn't come at a worse time, as the White House is preparing for conflict with their neighbors to the North. As rumors of violence from Canada begin to threaten the President's invasion plans, the biggest threat might be closer than they realized: a rogue robot with a head full of state secrets. Every issue from DSTLRY is presented in our perfect bound Prestige format, featuring wraparound covers with spot gloss on robust cover stock, complemented by 48 pages of exquisite interior stock. It's the DSTLRY difference. For fans of BLADE RUNNER, THE ISLAND, and WE STAND ON GUARD.",2025-07-07,2025-09-03,DSTLRY,Irregular,4,,WHR,Limited Series,48,Original Content,CGN004070,Comics & Graphic Novels - Science Fiction - General,eng,13UP,Rated T,N,14998,N,1,Chip Zdarsky,Rachael Stott,Erica Henderson,IMPERIAL,8.5,10.875,0.1,0.25,61499847382300151,,
