UPC,ISBN,EAN,FullTitle,PriceUSD,PriceCAD,PriceUK,NETPrice,NETPriced,SeriesName,SeriesNumber,SubTitle,CoverDescription,PrimaryFormatType,SecondaryFormatTypes,ProductCategory,TextNumber,VolumeTag,Description,InitialOrderDate,FOCDate,OnSaleDate,OriginalCatalogDate,PublisherName,ImprintName,Storyline,SeriesFrequency,MaxIssue,VariantNumber,VariantRatio,SeriesCode,SeriesType,ParentSeriesCode,SeriesFamily,PageCount,PrimaryContentType,IssueSort,BISAC1,BISAC1Description,BISAC2,BISAC2Description,BISAC3,BISAC3Description,Language,AgeRange,MediaRating,Adult,VariantMechanic,AlternateUPC,OrderRequirementCodes,OrderExceptionCodes,ExceedPercentage,EligibleCodes,PublisherCode,ContentItems,Reprint,Printing,WriterISNI,Writer,ArtistISNI,Artist,CoverArtistISNI,CoverArtist,ColoristISNI,Colorist,InkerISNI,Inker,EditorISNI,Editor,LettererISNI,Letterer,Contributor,CartonQuantity,UnitMeasurements,UnitWidth,UnitHeight,UnitDepth,UnitWeight,CaseWeight,CaseLength,CaseWidth,CaseHeight,StockCode,MonthCode,AlternateCode,OfferedAgain,Resolicited,FOCItem,DemandCheck,InitialOrderIncrement,ReOrderIncrement,BundleQuantity,BundleUPCs,SalesRestrictions,OrderFormNotes,CatalogPage,CatalogMonth,DiscountCode,ReorderDiscountCode,Returnable,ReturnWindow,ReturnType,ReturnQualifier,ReturnPercent,ImageUrl,ImageUpdateDate,VariantType,SalesStatusCode,SalesTerritory,MaxOrderQuantity,CoverColor,Translator,CreatorBio,Reviews,ComparableTitles,NETPriceCA,NETPricedCA,NETPriceUK,NETPricedUK,DistributorPublisherCode,TitleFamilyID,HSCode,CountryOfOrigin,OtherMarketOnSaleDate,DTCStreetDate
"85534800152900111","","","2025 SHANTAE SWIMSUIT SPECIAL #1 (ONE SHOT) CVR A NAMI SAKURAJYOUSUI","4.99","","","","","2025 Shantae Swimsuit Special","1","","","CB","","Comics","","","Video game icon Shantae returns to the beach for an all-new swimsuit special! Friends Rottytops and Sky, and baddies like Risky Boots and Nega-Shantae all appear alongside the belly-dancing, half-genie hero herself! This pin-up art special also includes a bonus 5-page full color Shantae story!","2025-07-24","2025-07-28","2025-09-03","","UDON Entertainment","","","","1","0","","0","","","","32","Original Content","1","CGN004030","COMICS & GRAPHIC NOVELS / Fantasy","","","","","eng","","T-Teen","N","","","","","","","","","N","1","","Matt Bozon, Erin Bozon","","Various","","Nami Sakurajyousui","","","","","","","","","","","Imperial","6.625","10.1875","","0.00","","","","","0725UE849","0725UE849","JUL257849","N","N","Y","N","","","","","","","531","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725UE849.jpg","","Primary Cover","","","","FC","","","","","","","","","","","","","",""
"85534800152900121","","","2025 SHANTAE SWIMSUIT SPECIAL #1 (ONE SHOT) CVR B MIKAN VAR","4.99","","","","","2025 Shantae Swimsuit Special","1","","","CB","","Comics","","","Video game icon Shantae returns to the beach for an all-new swimsuit special! Friends Rottytops and Sky, and baddies like Risky Boots and Nega-Shantae all appear alongside the belly-dancing, half-genie hero herself! This pin-up art special also includes a bonus 5-page full color Shantae story!","2025-07-24","2025-07-28","2025-09-03","","UDON Entertainment","","","","1","1","","0","","","","32","Original Content","1","CGN004030","COMICS & GRAPHIC NOVELS / Fantasy","","","","","eng","","T-Teen","N","Open Order","","","","","","","","N","1","","Matt Bozon, Erin Bozon","","Various","","MIKAN","","","","","","","","","","","Imperial","6.625","10.1875","","0.00","","","","","0725UE850","0725UE850","JUL257850","N","N","Y","N","","","","","","","532","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725UE850.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","","",""
"85534800152900141","","","2025 SHANTAE SWIMSUIT SPECIAL #1 (ONE SHOT) CVR D INC 1:5 NAMI SAKURAJYOUSUI VAR","4.99","","","","","2025 Shantae Swimsuit Special","1","","","CB","","Comics","","","Video game icon Shantae returns to the beach for an all-new swimsuit special! Friends Rottytops and Sky, and baddies like Risky Boots and Nega-Shantae all appear alongside the belly-dancing, half-genie hero herself! This pin-up art special also includes a bonus 5-page full color Shantae story!","2025-07-24","2025-07-28","2025-09-03","","UDON Entertainment","","","","1","3","1:5","0","","","","32","Original Content","1","CGN004030","COMICS & GRAPHIC NOVELS / Fantasy","","","","","eng","","T-Teen","N","","","","","","","","","N","1","","Matt Bozon, Erin Bozon","","Various","","Nami Sakurajyousui","","","","","","","","","","","Imperial","6.625","10.1875","","0.00","","","","","0725UE852","0725UE852","JUL257852","N","N","Y","N","","","","","","Order 5 copies of covers A,B,C (Lunar Codes) in any combination may order 1 copy of CVR D (Lunar Code)","532","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725UE852.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","","",""
"76194138648500651","","","ABSOLUTE GREEN LANTERN #6 CVR C MIKE DEL MUNDO CARD STOCK VAR","5.99","","","","","Absolute Green Lantern","6","","","CB","","Comics","","","","2025-07-24","2025-07-28","2025-09-03","","DC Comics","","","","","2","","MS002163","","","","","Original Content","6","","","","","","","eng","","","N","","","","","","","","","N","","","","","","","Mike Del Mundo","","","","","","","","","","","Imperial","6.625","10.1875","","","","","","","0725DC043","0725DC043","JUL257043","N","N","Y","N","","","","","","","","2025-07","D","","","","","","","https://media.lunardistribution.com/images/covers/large/0725DC043.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","CA","",""
"64985600832900531","","","ADVENTURE TIME (2025) #5 CVR C ICE KING BLUE BLANK SKETCH VAR","4.99","","","","","Adventure Time","5","","Ice King Blue Blank Sketch","CB","","Comics","","","","2025-07-24","2025-07-28","2025-09-03","","Oni Press","","","","","2","","152565","","","","","Original Content","5","","","","","","","eng","","","N","","","","","","","","","N","","","Nick Winn","","","","","","","","","","","","","","","Imperial","6.625","10.1875","","","","","","","0725ON655","0725ON655","JUL257655","N","N","Y","N","","","","","","","","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725ON655.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","","",""
"64985600832900541","","","ADVENTURE TIME (2025) #5 CVR D INC 1:10 SHELLI PAROLINE & BRADEN LAMB INFINITE INTERLOCKING VAR","4.99","","","","","Adventure Time","5","","","CB","","Comics","","","","2025-07-24","2025-07-28","2025-09-03","","Oni Press","","","","","3","1:10","152565","","","","","Original Content","5","","","","","","","eng","","","N","","","","","","","","","N","","","Nick Winn","","","","Shelli Paroline & Braden Lamb","","","","","","","","","","","Imperial","6.625","10.1875","","","","","","","0725ON656","0725ON656","JUL257656","N","N","Y","N","","","","","","Order 10 copies of covers A-C (0725ON653 - 0725ON655) in any combination, retailers may order one copy of CVR D (0725ON656)","","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725ON656.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","","",""
"64985600832900551","","","ADVENTURE TIME (2025) #5 CVR E INC 1:20 AGUSTIN MORALES VAR","4.99","","","","","Adventure Time","5","","","CB","","Comics","","","","2025-07-24","2025-07-28","2025-09-03","","Oni Press","","","","","4","1:20","152565","","","","","Original Content","5","","","","","","","eng","","","N","","","","","","","","","N","","","Nick Winn","","","","Agustin Morales","","","","","","","","","","","Imperial","6.625","10.1875","","","","","","","0725ON657","0725ON657","JUL257657","N","N","Y","N","","","","","","Order 20 copies of covers A-C (0725ON653 -0725ON655) in any combination, retailers may order one copy of CVR E (0725ON657)","","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725ON657.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","","",""
"64985600832900561","","","ADVENTURE TIME (2025) #5 CVR F INC 1:50 NICK WINN B&W VAR","4.99","","","","","Adventure Time","5","","","CB","","Comics","","","","2025-07-24","2025-07-28","2025-09-03","","Oni Press","","","","","5","1:50","152565","","","","","Original Content","5","","","","","","","eng","","","N","","","","","","","","","N","","","Nick Winn","","","","Nick Winn","","","","","","","","","","","Imperial","6.625","10.1875","","","","","","","0725ON658","0725ON658","JUL257658","N","N","Y","N","","","","","","Order 50 copies of covers A-C (0725ON653 - 0725ON655) in any combination, retailers may order one copy of CVR F(0725ON658)","","2025-07","E","","","","","","","https://media.lunardistribution.com/images/covers/large/0725ON658.jpg","","Variant Cover","","","","FC","","","","","","","","","","","","","","" 
